0,1,2,3,4,5,6,7,8,9,10,11,12
AGLE,3.7830316078340944,87800189.23,9999,-1.6163512951593937,-3.2975504866808,1.4089229360289681,9999,16.752585119798233,9999,9999,5.33,1
AGN,229.117176090281,87197160000.0,0.0031927645349917357,41.22019635343619,5.5203521605988435,0.9931599362517306,0.7265135699373695,2.267756231983441,2.1765781553582992,0.6276691097827443,227.55,1
AGNC,18.79907395904792,9999,9999,1.796497584541063,13.01421176470588,1.2436782817563892,9999,1.2101592543507071,9999,7.634584013050571,23.38,1
AGR,49.21598878092928,16219686727.28,0.024723042235184196,2.0395696652583397,25.73582108721519,1.0665233250447133,1.2977124869248184,0.8303834808259587,0.7817109144542773,0.44463440294581796,52.49,0
AGX,14.26837799306811,228759732.99,0.04536637573560056,2.3969531095429666,6.829503645618379,1.1472922856370154,0.7426475707917812,1.8678187862257074,9999,9999,16.37,0
AGYS,5.295072734400124,239865042.54,9999,-0.1655454425537528,-63.48709960159362,1.9848641420391504,9999,1.765268022181146,1.7155083179297597,0.7751978165266901,10.51,0
AHPI,4.552706253860373,14167785.61,9999,-0.5742590020764535,-6.147052091888733,0.7753630045880533,9999,3.034932989060425,1.2321983593684305,9999,3.53,1
AIMC,9.678718917292978,1657650000.0,0.007038277078997376,0.9766899766899767,26.313365155131265,2.6553100900659263,0.18088372093023256,2.0054829480897083,1.1906737441951254,2.3651340401202763,25.7,0
AIR,25.007153669190362,1220774999.1799998,0.008519178396498722,1.3906705539358601,25.354675052410897,1.409996534049434,0.3003862302605449,2.5826010544815468,1.2586408904510837,1.1755601755601757,35.26,0
AIRI,1.7463210789163126,10737342.0,9999,-2.0734106550188667,-1.4468913780963963,1.7178971474487748,9999,1.1603731175545067,0.5503483928972803,2.6083165930092407,3.0,1
AIT,16.950045085662758,1441207760.0,0.030065061542549565,0.7501141262997717,45.33976738682084,2.006484338426182,1.0225127430621106,2.8493235089305573,1.6162139104501554,1.6812237428486312,34.01,0
AJG,20.220132743362832,12035486190.0,0.022616452356213453,2.3228699551569507,28.42604247104247,3.265557196783194,1.4933643490807744,0.9575861396014484,9999,1.7946003610700805,66.03,0
AJRD,0.459387483355526,604395000.0,9999,0.2589928057553957,38.5725,21.746347826086957,9999,1.4642795956827137,1.1471646393695392,42.39710144927536,9.99,0
AKAM,18.997444883521407,8923373631.6,9999,1.8035416809292348,26.51449672921438,2.5171806152457687,9999,3.4969539867801425,9999,0.6047705443233872,47.82,0
AKER,65.51172864574268,18517550.919999998,9999,-118.24109667489888,-6.138136573576571,11.078626911597535,9999,1.7582132989283799,0.5584460036643631,9999,725.78,1
